Process Name	Seconds(ms)	CPU(%)	Memory(MB)
GeneticCars	621000	0.7568548	296.09
GeneticCars	622000	2.396854	296.09
GeneticCars	623000	0.3791619	296.09
GeneticCars	624000	1.388913	296.09
GeneticCars	625000	0.8842511	296.09
GeneticCars	626000	0.3795305	296.09
GeneticCars	627000	0.7575896	296.08
GeneticCars	628000	0.3788638	296.08
GeneticCars	629000	0.7575884	296.08
GeneticCars	630000	0.3787939	296.08
GeneticCars	631000	1.134183	296.08
GeneticCars	632000	1.01122	296.08
GeneticCars	633000	2.021527	296.08
GeneticCars	634000	1.643037	296.08
GeneticCars	635000	1.515855	296.08
GeneticCars	636000	0.6313222	296.08
GeneticCars	637000	3.786768	296.08
GeneticCars	638000	5.055493	296.08
GeneticCars	639000	1.387585	296.08
GeneticCars	640000	0.6306745	296.08
GeneticCars	641000	2.146811	296.08
GeneticCars	642000	0.5058843	296.08
GeneticCars	643000	0.7577007	296.08
GeneticCars	644000	1.644334	296.08
GeneticCars	645000	0.7586221	296.08
GeneticCars	646000	2.530064	296.08
GeneticCars	647000	2.273943	296.08
GeneticCars	648000	1.260976	296.08
GeneticCars	649000	1.135395	296.08
GeneticCars	650000	1.134282	296.08
GeneticCars	651000	1.892138	296.08
GeneticCars	652000	1.770594	296.08
GeneticCars	653000	0.3783323	296.08
GeneticCars	654000	0.5053094	296.08
GeneticCars	655000	1.385111	296.25
GeneticCars	656000	1.769424	296.25
GeneticCars	657000	0.2525297	296.25
GeneticCars	658000	1.516412	296.25
GeneticCars	659000	1.136543	296.25
GeneticCars	660000	1.011211	296.25
GeneticCars	661000	0.3789265	296.25
GeneticCars	662000	2.144888	296.25
GeneticCars	663000	0.8832094	296.25
GeneticCars	664000	0.7575887	296.25
GeneticCars	665000	0.6316224	296.25
GeneticCars	666000	3.282885	296.25
GeneticCars	667000	4.166055	296.25
GeneticCars	668000	1.897781	296.25
GeneticCars	669000	1.1358	296.25
GeneticCars	670000	1.39026	296.25
GeneticCars	671000	2.652332	296.25
GeneticCars	672000	0.3791623	296.25
GeneticCars	673000	0.3789728	296.25
GeneticCars	674000	1.643122	296.25
GeneticCars	675000	2.27218	296.25
GeneticCars	676000	2.524559	296.25
GeneticCars	677000	0.3786805	296.25
GeneticCars	678000	1.515813	296.25
GeneticCars	679000	0.6313249	296.25
GeneticCars	680000	1.641115	296.25
GeneticCars	681000	0.8843196	296.25
